Order_ID,Product_Name,Category,Order_Quantity,Weight_kg,Shipping_Cost,Region,Country,City,Shipping_Mode,Warehouse,Carrier,Order_Date,Ship_Date,Expected_Delivery_Date,Actual_Delivery_Date,Penalty_Cost,Extra_Logistics_Cost,Warehouse_Processing_Time,Warehouse_Delay_Flag,Warehouse_Efficiency_Score,Inventory_Availability,Carrier_Rating,Transit_Time,Distance_KM,Route_Type,Shipping_Priority,Order_Priority,Customer_Type,SLA_Commitment_Days,Order_Year,Order_Month,Order_Week,Day_of_Week,Season,Delay_Reason,Risk_Level,Disruption_Flag,Weather_Impact_Flag,Customer_Satisfaction_Score,Return_Flag,Complaint_Flag
ORD100000,Headphones,Accessories,5,5.89,42.14,Asia,Germany,New York,Road,WH3,FedEx,4/2/2023,4/5/2023,4/8/2023,4/8/2023,0,3.26,1,1,92.94,In Stock,5,3,4323,International,High,Low,Premium,9,2023,4,13,Sunday,Peak,Carrier,Medium,1,0,1.23,1,1
ORD100001,Camera,Accessories,9,4.36,67.15,North America,USA,Berlin,Air,WH3,DHL,4/11/2023,4/14/2023,4/17/2023,4/21/2023,8,2.15,1,0,84.08,Out of Stock,5,7,4887,International,Low,High,Regular,6,2023,4,15,Tuesday,Off-season,Carrier,Low,0,0,2.55,1,0
ORD100002,Tablet,Electronics,6,6.02,52.81,Asia,Germany,New York,Road,WH2,UPS,11/25/2023,11/26/2023,12/1/2023,11/30/2023,0,3.59,2,0,89.22,Out of Stock,2,4,999,International,Low,Low,Premium,6,2023,11,47,Saturday,Peak,Weather,Low,1,0,2.61,0,0
ORD100003,Camera,Accessories,5,5.23,16.91,North America,Germany,Chennai,Sea,WH1,FedEx,7/14/2023,7/17/2023,7/20/2023,7/21/2023,2,9.83,2,0,87.93,Out of Stock,3,4,4599,Domestic,High,Low,Premium,9,2023,7,28,Friday,Peak,Customs,Medium,0,1,3.66,0,1
ORD100004,Camera,Electronics,5,0.52,5.21,Europe,USA,New York,Air,WH3,FedEx,11/20/2023,11/22/2023,11/28/2023,12/3/2023,10,6.86,3,0,80.03,Out of Stock,3,11,681,International,Medium,High,Premium,9,2023,11,47,Monday,Off-season,Carrier,High,0,0,4.45,1,1
ORD100005,Phone,Electronics,8,3.84,17.19,North America,USA,Berlin,Road,WH3,FedEx,5/14/2023,5/16/2023,5/22/2023,5/20/2023,0,18.8,3,1,85.67,Out of Stock,2,4,1809,Domestic,High,High,Premium,5,2023,5,19,Sunday,Off-season,Customs,High,1,1,1.54,1,1
ORD100006,Tablet,Electronics,1,0.61,18.94,Asia,Germany,Chennai,Air,WH2,FedEx,12/5/2023,12/6/2023,12/15/2023,12/11/2023,0,8.63,4,1,89.5,In Stock,2,5,3082,Domestic,Medium,Low,Premium,4,2023,12,49,Tuesday,Off-season,Customs,High,0,0,1.27,1,1
ORD100007,Tablet,Electronics,5,6.99,73.39,North America,India,Chennai,Sea,WH1,DHL,4/11/2023,4/14/2023,4/21/2023,4/16/2023,0,6.59,4,1,94.79,Out of Stock,4,2,264,International,High,Low,Premium,4,2023,4,15,Tuesday,Peak,Customs,Low,0,1,3.65,1,1
ORD100008,Tablet,Electronics,1,8.61,32.1,North America,Germany,New York,Sea,WH3,UPS,6/7/2023,6/11/2023,6/20/2023,6/21/2023,2,12.73,2,0,70.57,Out of Stock,1,10,4463,International,Low,High,Regular,5,2023,6,23,Wednesday,Peak,Customs,High,0,0,4.18,0,0
ORD100009,Camera,Accessories,7,4.15,13.9,North America,USA,New York,Air,WH2,UPS,8/31/2023,9/4/2023,9/13/2023,9/10/2023,0,14.26,3,0,92.44,In Stock,3,6,3720,Domestic,Low,High,Premium,9,2023,8,35,Thursday,Off-season,Carrier,Low,0,0,2.21,0,1
ORD100010,Headphones,Electronics,7,5.49,76.76,Asia,USA,Chennai,Sea,WH1,FedEx,6/9/2023,6/13/2023,6/16/2023,6/24/2023,16,17.43,4,0,99.31,Out of Stock,5,11,2587,Domestic,High,Medium,Premium,6,2023,6,23,Friday,Off-season,Weather,Low,1,1,3.39,1,0
ORD100011,Tablet,Electronics,8,1.13,94.35,Asia,Germany,New York,Road,WH3,UPS,1/5/2023,1/7/2023,1/12/2023,1/11/2023,0,15.99,4,0,88.28,In Stock,4,4,95,International,Low,Low,Premium,9,2023,1,1,Thursday,Peak,Customs,Medium,1,0,2.8,0,0
ORD100012,Camera,Accessories,7,4.16,14.55,North America,USA,New York,Road,WH2,DHL,11/8/2023,11/12/2023,11/15/2023,11/20/2023,10,15.35,4,0,88.32,Out of Stock,3,8,3832,Domestic,Low,Low,Regular,4,2023,11,45,Wednesday,Peak,Weather,Medium,0,1,4.66,1,1
ORD100013,Phone,Accessories,9,1.82,96.49,Europe,Germany,New York,Road,WH3,FedEx,4/30/2023,5/4/2023,5/9/2023,5/13/2023,8,4.63,3,1,93.41,Out of Stock,5,9,1575,Domestic,Medium,High,Premium,5,2023,4,17,Sunday,Peak,Warehouse,Low,1,1,1.55,1,1
ORD100014,Headphones,Accessories,8,1.11,95.28,Asia,Germany,New York,Sea,WH1,FedEx,11/8/2023,11/12/2023,11/21/2023,11/19/2023,0,5.98,4,0,80.43,In Stock,1,7,2972,Domestic,Low,Medium,Premium,4,2023,11,45,Wednesday,Off-season,Carrier,High,1,1,4.55,1,1
ORD100015,Phone,Accessories,8,2.13,54.7,Europe,USA,New York,Road,WH3,UPS,11/7/2023,11/11/2023,11/20/2023,11/18/2023,0,4.72,4,1,79.79,In Stock,4,7,3493,Domestic,Low,High,Regular,7,2023,11,45,Tuesday,Off-season,Weather,Medium,1,0,2.45,0,1
ORD100016,Headphones,Electronics,3,8.77,33.1,Asia,Germany,Chennai,Road,WH1,UPS,4/29/2023,5/1/2023,5/5/2023,5/9/2023,8,7.13,3,1,74.97,In Stock,3,8,4203,Domestic,Low,Medium,Regular,7,2023,4,17,Saturday,Peak,Customs,Low,0,0,1.86,0,1
ORD100017,Camera,Accessories,4,9.83,18.12,North America,USA,New York,Sea,WH3,DHL,9/9/2023,9/12/2023,9/21/2023,9/23/2023,4,16.96,2,0,78.8,In Stock,4,11,1977,International,High,Low,Regular,4,2023,9,36,Saturday,Off-season,Warehouse,Medium,0,0,4.03,1,1
